NAME,PRICE,CUISINES,CITY,REGION,URL,PAGE NO,RESTAURANT_TYPE,TIMING,RATING_TYPE,RATING,VOTES,AREA,PRICE_CATEGORY,RATING_CATEGORY,POPULARITY_CATEGORY,AFFORDABLE_FLAG,WEIGHTED_RATING,VALUE_SCORE,COMBINED_FEATURES
Chin Chin Chu,1800,"Asian,Chinese",Mumbai,Juhu,https://www.zomato.com/mumbai/chin-chin-chu-juhu/info,1,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.2,337.0,Juhu,Premium,Very Good,Moderately Popular,False,4.06,2.26,"chin chin chu asian,chinese casual dining premium very good moderately popular"
Tanatan,1500,Modern Indian,Mumbai,Juhu,https://www.zomato.com/mumbai/tanatan-juhu/info,1,Casual Dining,12noon to 130am(Mon-Sun),Excellent,4.7,1842.0,Juhu,Expensive,Excellent,Highly Popular,False,4.64,3.09,tanatan modern indian casual dining expensive excellent highly popular
Cafe Safar,600,"Chinese,North Indian,Biryani",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/cafe-safar-oshiwara/info,1,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.0,2797.0,Andheri,Moderate,Very Good,Highly Popular,True,3.99,6.65,"cafe safar chinese,north indian,biryani casual dining moderate very good highly popular"
145 Bandra,1300,"Mexican,American,Desserts,European,Modern Indian",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/145-bandra-pali-hill-bandra-west/info,1,Bar,12noon to 130am(Mon-Sun),Very Good,4.2,1552.0,Bandra,Expensive,Very Good,Highly Popular,False,4.16,3.2,"145 bandra mexican,american,desserts,european,modern indian bar expensive very good highly popular"
Angrezi Patiyalaa,1200,"North Indian,Finger Food,American,Mexican,Chinese",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/angrezi-patiyalaa-andheri-lokhandwala/info,10,Casual Dining,12noon to 1230AM(Mon-Sun),Excellent,4.5,271.0,Andheri,Expensive,Excellent,Moderately Popular,False,4.24,3.53,"angrezi patiyalaa north indian,finger food,american,mexican,chinese casual dining expensive excellent moderately popular"
Door No.1,1500,"Asian,Italian,North Indian,Finger Food",Mumbai,Reclamation-- Bandra West,https://www.zomato.com/mumbai/door-no-1-reclamation-bandra-west/info,10,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.4,870.0,Bandra,Expensive,Very Good,Highly Popular,False,4.31,2.87,"door no.1 asian,italian,north indian,finger food casual dining expensive very good highly popular"
Natural Ice Cream,150,"Desserts,Ice Cream",Mumbai,Vile Parle East,https://www.zomato.com/mumbai/natural-ice-cream-vile-parle-east/info,10,Dessert Parlor,11am to 1am(Mon-Sun),Very Good,4.3,621.0,Vile Parle,Budget,Very Good,Highly Popular,True,4.2,28.0,"natural ice cream desserts,ice cream dessert parlor budget very good highly popular"
Frisbees,600,"Fast Food,American,Burger",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/frisbees-andheri-lokhandwala/info,100,Quick Bites,12noon to 12midnight(Mon-Sun),Very Good,4.3,2266.0,Andheri,Moderate,Very Good,Highly Popular,True,4.27,7.12,"frisbees fast food,american,burger quick bites moderate very good highly popular"
The Burger Brasserie,650,"Cafe,Fast Food,Burger,Beverages",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/the-burger-brasserie-andheri-lokhandwala/info,101,Café,1030am to 12midnight(Mon-Sun),Very Good,4.4,927.0,Andheri,Moderate,Very Good,Highly Popular,True,4.32,6.65,"the burger brasserie cafe,fast food,burger,beverages café moderate very good highly popular"
Cat Café Studio,300,"Cafe,Beverages",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/cat-café-studio-1-versova/info,101,Café,10am to 11pm(Mon-Sun),Very Good,4.2,575.0,Andheri,Budget,Very Good,Highly Popular,True,4.11,13.7,"cat café studio cafe,beverages café budget very good highly popular"
